순번,상품계층,내부제품명,외부조달표현,단위,대외기준가,권장제안가,표준유통공급가,전략파트너하한,공급가율,등록상태,식별번호,가격정책,비고,녹취포함,의존성
1,Anchor/Channel,IPX-SERIES v3.0,IPX 통신채널 플랫폼 라이선스,CH,1100000,1100000,770000,660000,0.70,등록,24234183,기준단가 유지,VR/CRS/ARS 포함 플랫폼. 단독 판매 시 수량×단가 구조,Y,
2,Core Candidate,IPX-SERIES Core Package,IPX 통신채널 Core Package,1식,33000000,30800000,22000000,19800000,0.67,신규등록 후보,1Package 추가,대형 프로젝트 기본 고정비,기존 IP채널만으로는 패키지 고정비 부족,Y,
3,User Candidate,IPX-SERIES Admin/User,관리자/상담원 User License,User,330000,300000,180000,150000,0.55,신규등록 후보,User 추가,사용자 기반 확장,부서별 관리자·감사담당자,N,
4,Integration Candidate,IPX-SERIES PBX I/F,IP-PBX/교환기 연동 라이선스,1식,5500000,5000000,3000000,2500000,0.55,신규등록 후보,PBX I/F 추가,연동비 명문화,무상 연동 방지,N,
5,STT Channel,IPX-VR/STT v2.0,민원통화 STT 분석 채널 라이선스,CH,2500000,2500000,1500000,1200000,0.60,등록,25610381,현재 품목 활용,규격상 단위 확인 필요. 분석채널로 재해석 권장,N,녹취기반
6,STT Core,VR/STT 분석 Core Lite (녹취제외),STT 연동·기본관리 Core,1식,15000000,15000000,9000000,8000000,0.60,신규등록 후보,Core Package 추가,기존 IPX-Series 보유 고객용,녹취기능 IPX-Series 전제. 녹취 미포함,N,녹취기반
7,STT Core,VR/STT 분석 Core Standard (녹취제외),다부서 STT 운영·검색 Core,1식,22000000,22000000,13000000,12000000,0.59,신규등록 후보,Core Package 추가,70~90백만원 패키지,중형기관 기준. 녹취 미포함,N,녹취기반
8,Analysis Module,STT Basic Analysis Module,키워드검색·기본통계 분석 모듈,1식,7000000,7000000,4200000,3500000,0.60,신규등록 후보,Analysis Module,STT 가치 방어,STT 자체보다 분석 기능에 과금,N,녹취기반
9,Analysis Module,Abuse Detection Module,악성민원 위험탐지 모듈,1식,15000000,15000000,9000000,8000000,0.60,신규등록 후보,Abuse Module,공무원 보호 명분,폭언·협박·반복민원 키워드,N,녹취기반
10,Evidence Module,Evidence Management Module,민원분쟁 증거관리 모듈,1식,12000000,12000000,7200000,6500000,0.60,신규등록 후보,Evidence Module,감사·분쟁 대응,녹취/STT 이력·권한관리,N,녹취기반
11,LCR Package,레터컬러링 v1.0,레터링솔루션 1Package,Package,60500000,60500000,42000000,40000000,0.69,등록,25232571,고정패키지,대형 안내·레터링 사업,N,
12,LCR Channel,레터컬러링 v1.0,레터컬러링솔루션 1CH,CH,3630000,3630000,2400000,2200000,0.66,등록,25252872,채널 확장,사전고지·정책안내 채널,N,
13,LCR User,레터컬러링 v1.0,레터컬러링솔루션 1user,User,27500,27500,18000,15000,0.65,등록,25252871,대량 사용자,부서·사용자 확장,N,
14,LCR Interface,레터컬러링 v1.0,PBX I/F License,I/F,99000,99000,65000,55000,0.66,등록,25252873,연동 보조,기본 연동 단위,N,
15,ACS Channel,IPX-ACS/VMS V3.0,음성동보솔루션 1CH,CH,990000,990000,650000,600000,0.66,등록,25544224,채널 판매,재난·복지 자동안내,N,
16,ACS Core Candidate,ACS/VMS Core Package,재난·복지 자동안내 Core,1식,22000000,20000000,12000000,11000000,0.55,신규등록 후보,1Package 추가,동보사업 고정비 확보,대상자·그룹·수신확인 관리,N,
17,FAX User,전자팩스시스템 V3.0,전자팩스솔루션 User,User,1870000,1870000,1200000,1100000,0.64,등록,24607846,사용자 확장,대학·공공기관,N,
18,FAX Core Candidate,전자팩스 Core Package,보안 행정문서 Core,1식,18700000,17000000,10000000,9000000,0.53,신규등록 후보,1Package 추가,팩스 단품 탈피,증빙·감사 플랫폼화,N,
19,Service,설치/교육/안정화,기본 구축·교육 서비스,1식,3000000,3000000,1800000,1500000,0.60,별도/커스터마이징,구축범위,유상 명문화,무상 구축 방지,N,
20,Integration,SSO/조직도/PBX 연동,기관별 연동개발,1식,11000000,10000000,6000000,5000000,0.55,별도/커스터마이징,개발옵션,범위별 산정,견적서에 명확히 분리,N,
21,STT Core,VR/STT 통합 Core (녹취내장),녹취+STT 통합 Core (신규 standalone),1식,20000000,20000000,12000000,11000000,0.60,신규등록 후보,Core Package 추가,신규 고객용 녹취 엔진 내장,IPX-Series 미보유 고객도 녹취+STT 온전 이용,Y,
