프리셋코드,구성항목,조달등록후보,단위,수량,단가_VAT포함,금액,비고
A,VR/STT 통합 Core (녹취내장),신규후보,1식,1,20000000,20000000,녹취 엔진+STT 연동 (IPX-Series 불필요)
A,IPX-VR/STT STT Channel,등록 25610381,CH,10,2500000,25000000,10CH 기준 문자화
A,Basic Analysis Module,신규후보,1식,1,7000000,7000000,검색·기본통계
A,설치·교육·안정화,커스터마이징,1식,1,3000000,3000000,기본 구축
U,VR/STT 분석 Core Lite (녹취제외),신규후보,1식,1,15000000,15000000,기존 녹취를 AI 분석으로 고도화
U,IPX-VR/STT STT Channel,등록 25610381,CH,6,2500000,15000000,6CH 기준 문자화
U,Basic Analysis Module,신규후보,1식,1,7000000,7000000,검색·기본통계
U,설치·교육·안정화,커스터마이징,1식,1,3000000,3000000,기존 시스템 연동
B,VR/STT Core Standard,신규후보,1식,1,22000000,22000000,다부서 운영
B,IPX-VR/STT STT Channel,등록 25610381,CH,16,2500000,40000000,16CH 기준
B,Basic Analysis Module,신규후보,1식,1,7000000,7000000,키워드·기본통계
B,Evidence Management Module,신규후보,1식,1,12000000,12000000,증거관리
B,설치·교육·안정화,커스터마이징,1식,1,4000000,4000000,중급 구축
C,IPX-SERIES IP채널라이선스,등록 24234183,CH,30,1100000,33000000,ARS/CRS/기본녹취
C,VR/STT Core Standard,신규후보,1식,1,22000000,22000000,STT 운영
C,IPX-VR/STT STT Channel,등록 25610381,CH,16,2500000,40000000,분석채널
C,Abuse Detection Module,신규후보,1식,1,15000000,15000000,악성민원 탐지
C,Evidence Management Module,신규후보,1식,1,12000000,12000000,증거관리
C,레터컬러링 1CH,등록 25252872,CH,5,3630000,18150000,사전고지 채널
C,설치·시나리오·연동,커스터마이징,1식,1,7000000,7000000,PBX/안내시나리오
D,ACS/VMS Core Package,신규후보,1식,1,22000000,22000000,대상자/그룹관리
D,ACS/VMS 음성동보 1CH,등록 25544224,CH,30,990000,29700000,자동발신 채널
D,Response/Report Module,신규후보,1식,1,8000000,8000000,수신확인·미응답 리포트
D,설치·대상자DB 연동,커스터마이징,1식,1,7000000,7000000,복지DB/명단 연동
E,IPX-SERIES Core Package,신규후보,1식,1,33000000,33000000,통신채널 플랫폼
E,IPX-SERIES IP채널라이선스,등록 24234183,CH,50,1100000,55000000,기본 채널
E,VR/STT Core Standard,신규후보,1식,1,22000000,22000000,STT 운영
E,IPX-VR/STT STT Channel,등록 25610381,CH,20,2500000,50000000,STT 채널
E,레터컬러링 PBX/I/F + User,등록,식,1,5000000,5000000,정책안내/사전고지
E,전자팩스 User,등록 24607846,User,10,1870000,18700000,문서증빙
E,통합관리/연동/교육,커스터마이징,1식,1,20000000,20000000,SSO/조직도/리포트
