순위,서비스명,공공명분,조합제품,주요수요처,목표가격대,납품요구명_예시,우선도
1,AI 기반 공무원 보호 및 악성민원 대응 시스템,"공무원 보호, 폭언·협박 예방, 민원분쟁 증거관리",IPX-Series + VR/STT + 레터컬러링 + Abuse/Evidence,지자체 민원실·세무·복지·교통,100~130백만원,악성민원 사전고지 및 민원통화 증거관리 시스템 구축,최우선
2,시민민원 통화분석 및 응대품질 관리 시스템,"반복민원·불만요인 분석, 부서별 응대품질 개선",IPX-Series + VR/STT + Analysis,"시군구청, 콜센터, 공단",70~90백만원,민원전화 자동문자화 및 시민민원 분석시스템 구축,최우선
3,재난·복지 취약계층 자동안내 및 수신확인 시스템,"고독사 예방, 재난안내, 취약계층 안부확인",ACS/VMS + ARS + 리포트,"재난안전과, 복지과, 보건소",50~120백만원,재난·복지 자동안내 및 응답확인 시스템 구축,높음
4,디지털 약자 배려형 보이는 ARS 민원안내 시스템,고령자·장애인·정보취약계층 접근성 강화,ARS + 보이는ARS + LCR + TTS,"민원실, 보건소, 대표전화 기관",50~100백만원,디지털 약자 배려형 민원안내 및 보이는 ARS 시스템,중상
5,민원분쟁·감사 대응 통화·문서 통합증빙 시스템,"전화·문서 이력 통합보존, 감사·소송 대응",VR/STT + 전자팩스 + Evidence + 검색,"감사담당관, 법무, 인허가부서",60~120백만원,민원분쟁 대응 통화·문서 이력 통합관리 시스템,높음
6,전화민원 지식DB 및 AI 검색 플랫폼,전화민원을 조직 지식자산으로 축적·검색,VR/STT + Analysis + 검색/FAQ,"콜센터, 상수도, 복지, 세무",80~150백만원,전화민원 지식DB 구축 및 통화검색 시스템,높음
7,대표전화 자동분류 및 업무부하 절감 시스템,"반복문의 자동안내, 담당부서 정확 분기",ARS + ASR + LCR + 통계,"대표전화 운영기관, 대학, 공단",50~100백만원,대표전화 민원 자동분류 및 업무부하 절감 시스템,높음
8,대학·교육기관 학사민원 자동응대 및 증빙관리 시스템,입학·등록·장학·증명 반복문의 자동화,ARS + VR/STT + FAX,"국공립대, 전문대, 교육청",50~100백만원,학사민원 자동응대 및 통화이력 관리 시스템,중상
9,보안 행정문서 송수신 및 민원증빙 관리 시스템,보안팩스·송수신 이력·조직도/SSO 연동,전자팩스 + SSO + Audit,"대학, 공공기관, 지자체",45~90백만원,보안 행정문서 송수신 및 증빙관리 시스템,중상
10,통합 민원 커뮤니케이션 플랫폼,전화·문서·안내·알림을 하나의 운영체계로 통합,IPX-Series + VR/STT + LCR + ACS/VMS + FAX,"광역, 대형 SI, 중앙기관",150백만원 이상,통합 민원 커뮤니케이션 플랫폼 구축,전략
